daysAgo,departureDate,price,source_airport,destination_airport
62,19-02-2025,€30,Eindhoven,Sofia
61,19-02-2025,€30,Eindhoven,Sofia
60,19-02-2025,€30,Eindhoven,Sofia
59,19-02-2025,€30,Eindhoven,Sofia
58,19-02-2025,€32,Eindhoven,Sofia
57,19-02-2025,€30,Eindhoven,Sofia
56,19-02-2025,€30,Eindhoven,Sofia
55,19-02-2025,€30,Eindhoven,Sofia
54,19-02-2025,€30,Eindhoven,Sofia
53,19-02-2025,€30,Eindhoven,Sofia
52,19-02-2025,€30,Eindhoven,Sofia
51,19-02-2025,€30,Eindhoven,Sofia
50,19-02-2025,€25,Eindhoven,Sofia
49,19-02-2025,€25,Eindhoven,Sofia
48,19-02-2025,€25,Eindhoven,Sofia
47,19-02-2025,€25,Eindhoven,Sofia
46,19-02-2025,€24,Eindhoven,Sofia
45,19-02-2025,€24,Eindhoven,Sofia
44,19-02-2025,€24,Eindhoven,Sofia
43,19-02-2025,€29,Eindhoven,Sofia
42,19-02-2025,€25,Eindhoven,Sofia
41,19-02-2025,€26,Eindhoven,Sofia
40,19-02-2025,€26,Eindhoven,Sofia
39,19-02-2025,€24,Eindhoven,Sofia
38,19-02-2025,€27,Eindhoven,Sofia
37,19-02-2025,€40,Eindhoven,Sofia
36,19-02-2025,€28,Eindhoven,Sofia
35,19-02-2025,€38,Eindhoven,Sofia
34,19-02-2025,€44,Eindhoven,Sofia
33,19-02-2025,€47,Eindhoven,Sofia
32,19-02-2025,€49,Eindhoven,Sofia
31,19-02-2025,€49,Eindhoven,Sofia
30,19-02-2025,€49,Eindhoven,Sofia
29,19-02-2025,€39,Eindhoven,Sofia
28,19-02-2025,€37,Eindhoven,Sofia
27,19-02-2025,€39,Eindhoven,Sofia
26,19-02-2025,€40,Eindhoven,Sofia
25,19-02-2025,€33,Eindhoven,Sofia
24,19-02-2025,€29,Eindhoven,Sofia
23,19-02-2025,€28,Eindhoven,Sofia
22,19-02-2025,€29,Eindhoven,Sofia
21,19-02-2025,€30,Eindhoven,Sofia
20,19-02-2025,€33,Eindhoven,Sofia
19,19-02-2025,€29,Eindhoven,Sofia
18,19-02-2025,€32,Eindhoven,Sofia
17,19-02-2025,€36,Eindhoven,Sofia
16,19-02-2025,€39,Eindhoven,Sofia
15,19-02-2025,€37,Eindhoven,Sofia
14,19-02-2025,€39,Eindhoven,Sofia
13,19-02-2025,€45,Eindhoven,Sofia
12,19-02-2025,€46,Eindhoven,Sofia
11,19-02-2025,€49,Eindhoven,Sofia
10,19-02-2025,€49,Eindhoven,Sofia
9,19-02-2025,€59,Eindhoven,Sofia
8,19-02-2025,€53,Eindhoven,Sofia
7,19-02-2025,€56,Eindhoven,Sofia
6,19-02-2025,€49,Eindhoven,Sofia
5,19-02-2025,€65,Eindhoven,Sofia
4,19-02-2025,€69,Eindhoven,Sofia
3,19-02-2025,€114,Eindhoven,Sofia
2,19-02-2025,€114,Eindhoven,Sofia
